,Human,Mouse,Zebrafish,C.elegans,Drosophila,Ciliate,Yeast,Methanocaldococcus,Thermococcus,Tuberculosis,E.coli
H4,1.09e-67,7.60e-68,1.13e-68,6.15e-68,8.02e-68,1.96e-45,1.08e-52,8.22e-05,3.31e-05,0.069,1.3
H3,2.19e-96,1.54e-96,1.77e-95,4.46e-94,9.93e-96,8.41e-86,3.31e-87,0.034,0.057,4.6,0.90
H2B,2.58e-88,3.12e-88,9.96e-84,1.08e-65,1.80e-60,2.53e-51,1.45e-60,1.8,1.2,1.6,1.6
H2A,1-100,0,0,3.31e-45,1.27e-43,3.58e-46,9.42e-46,1.2,1.74e-07,4.94e-09,1.22e-21
EZH1,1.01e-100,0,0,1.03e-50,0,1.62e-28,1.03e-22,0.65,0.45,0.094,3.4
